person_id,stock_id,virtual_date,weekday,quantity,cost_price,current_price,profit,start_date
0,2,3,3,21,218.21983875178057,256.46,0.17523600036660242,0
0,0,3,3,15,197.76,209.47,0.05921318770226541,1
1,2,3,3,15,224.94148309339275,256.46,0.1401262558904596,0
1,1,3,3,10,148.55,161.69,0.08845506563446641,0
1,0,3,3,22,192.91550139834715,209.47,0.08578685465477925,0
2,0,3,3,15,184.92,209.47,0.13276011248107297,0
2,1,3,3,33,149.3877596772913,161.69,0.08233482830176057,0
2,2,3,3,29,222.93,256.46,0.1504059570268693,0
3,0,3,3,19,186.78,209.47,0.12147981582610556,0
3,1,3,3,37,150.52377265092534,161.69,0.07420940738772247,0
3,2,3,3,27,233.60109130609672,256.46,0.09785958904109585,1
4,0,3,3,10,184.97,209.47,0.1324539114450992,0
4,1,3,3,22,150.36,161.69,0.07535248736366043,0
